"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
109, 2.232000045500000e-02, 2.482329437156798e-02, -6.226425688985732e+05, -1.167021166872836e+06, 1.894637503268977e+06, 1.218383695432706e+03, 0.000000000000000e+00, 0.000000000000000e+00, 5.368880161815718e+05
110, 2.723000012300000e-02, 2.718419978786347e-02, -8.009146524164724e+05, -3.493880647642236e+05, 1.924661900449086e+05, 1.361964718349619e+03, 0.000000000000000e+00, 0.000000000000000e+00, 1.565864124559488e+05
111, 3.260000050100000e-02, 2.948109446637338e-02, -9.089421754539367e+05, 3.292127718815260e+04, -4.977998973608734e+05, 1.022487667287493e+03, 0.000000000000000e+00, 0.000000000000000e+00, -1.998755233444344e+05
112, 3.844000026600000e-02, 3.171811260404538e-02, -5.300675902806545e+05, 1.105884893867435e+05, -7.206448454688622e+05, 1.128105204737837e+03, 0.000000000000000e+00, 0.000000000000000e+00, -2.682629757793267e+05
113, 4.473999887700000e-02, 3.389028465845557e-02, -8.250479724268169e+05, -4.584823008982881e+05, 9.929998499626459e+05, 8.543149169084633e+02, 0.000000000000000e+00, 0.000000000000000e+00, -3.251456745964016e+04
114, 5.149000138000000e-02, 3.599337852580232e-02, -9.534122685468219e+05, -3.716434600465621e+05, 4.919378946397947e+05, 1.193888780488265e+03, 0.000000000000000e+00, 0.000000000000000e+00, -4.743599790543105e+05
115, 5.869000032500000e-02, 3.802635805630503e-02, -7.163144475327980e+05, -5.053084710310453e+05, 1.863951840903412e+06, 9.618294608791720e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.855712112888067e+04
116, 6.633000075800000e-02, 3.998513962421356e-02, -7.421965119195759e+05, -4.285743924773975e+05, 1.218728096777603e+06, 6.365478532513839e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.715776084294730e+06
117, 7.440000027400000e-02, 4.186607976498817e-02, -3.851143677111043e+05, -5.484826004382659e+05, 1.533078466976938e+05, 2.734826908899385e+03, 0.000000000000000e+00, 0.000000000000000e+00, 1.603560192445992e+06
118, 8.290000259900000e-02, 4.366791468532204e-02, -8.313133992882641e+05, -5.422262447358966e+05, 7.777325517710857e+04, 2.789318409736241e+03, 0.000000000000000e+00, 0.000000000000000e+00, -1.876244193656954e+06
119, 9.181000292300000e-02, 4.538527151431038e-02, -7.810741758647891e+05, -7.276431288337432e+04, 1.509278450476004e+03, 3.940159014937897e+02, 0.000000000000000e+00, 0.000000000000000e+00, -1.620873808693872e+06
120, 1.011300012470000e-01, 4.701715290498424e-02, -6.846055165332621e+05, -1.622959936425707e+05, 2.092397466276508e+05, 6.444715492755589e+02, 0.000000000000000e+00, 0.000000000000000e+00, 4.155199611638027e+05
121, 1.108499988910000e-01, 4.856066993422563e-02, -9.441965989745669e+05, -2.020198749785812e+05, 1.847368989495944e+05, 9.457375396793226e+02, 0.000000000000000e+00, 0.000000000000000e+00, 4.150470819429494e+05
122, 1.209499984980000e-01, 5.001187382363489e-02, -9.827794629347860e+05, -2.049719873853537e+05, 1.903752791426112e+05, 9.693627390283633e+02, 0.000000000000000e+00, 0.000000000000000e+00, -4.036078924793559e+05
