"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
143, 4.019699990750000e-01, 5.792324246601335e-02, 8.116343360354855e-01, 3.282972873742426e+02, -1.252366354921345e+01, 1.984659035037977e+05
144, 4.174999892710000e-01, 5.729416860686566e-02, 8.084789640202371e-01, 3.276587769631062e+02, -1.401361259384124e+01, 1.977753155475237e+05
145, 4.331099987030000e-01, 5.659141825851464e-02, 8.052662723839236e-01, 3.270097072271389e+02, -1.542600463585461e+01, 1.970727438482025e+05
146, 4.487800002100000e-01, 5.581859897363720e-02, 8.020225786399899e-01, 3.263271228028956e+02, -1.676389587910569e+01, 1.963606333484300e+05
147, 4.645099937920000e-01, 5.497835513414191e-02, 7.990811761599190e-01, 3.257369875093686e+02, -1.803685597086481e+01, 1.957193634211821e+05
148, 4.802699983120000e-01, 5.407492053959814e-02, 7.963209464000214e-01, 3.251027960512225e+02, -1.924249163747546e+01, 1.951089921872789e+05
149, 4.960500001910000e-01, 5.311153541819326e-02, 7.942453568804493e-01, 3.246836508605256e+02, -2.039981684091153e+01, 1.946590278135902e+05
150, 5.118399858470000e-01, 5.209138375948307e-02, 7.923262904604433e-01, 3.242058277911475e+02, -2.149617971121157e+01, 1.942331709759366e+05
151, 5.276100039480000e-01, 5.101897737545535e-02, 7.906482176557744e-01, 3.238510669857898e+02, -2.254775674728965e+01, 1.938693444262625e+05
152, 5.433599948880000e-01, 4.989683951066199e-02, 7.893895235313210e-01, 3.235951627207460e+02, -2.355630105946884e+01, 1.935998162280217e+05
153, 5.590599775310000e-01, 4.872955796694115e-02, 7.907264975518152e-01, 3.237960782537373e+02, -2.455405983224934e+01, 1.938954074172066e+05
154, 5.747100114820000e-01, 4.751950934859488e-02, 7.907665288443197e-01, 3.229062521686258e+02, -2.542531091984074e+01, 1.938072020481592e+05
155, 5.902799963950000e-01, 4.627132533375768e-02, 7.912908460551433e-01, 3.253912073499865e+02, -2.652844633160912e+01, 1.942117697261669e+05
156, 6.057599782940000e-01, 4.498807223669178e-02, 7.875040997547251e-01, 3.202968491687674e+02, -2.697070740015984e+01, 1.928745593078908e+05
157, 6.211299896240000e-01, 4.367359094194759e-02, 8.682689350739400e-01, 3.217937371866167e+02, -2.792549832881084e+01, 2.091565973128691e+05
158, 6.363800168040000e-01, 4.233084266562091e-02, 1.142638968782566e+00, 3.196192614242122e+02, -2.852985529370681e+01, 2.655331436095766e+05
159, 6.514999866490000e-01, 4.096270419333766e-02, 1.289320591113634e+00, 3.171336531467871e+02, -2.906743678741353e+01, 2.963307233584377e+05
160, 6.664699912070000e-01, 3.957289370556494e-02, 1.285338037142068e+00, 3.190234095368067e+02, -2.997930270945978e+01, 2.956245215166326e+05
161, 6.812700033190000e-01, 3.816515293304169e-02, 1.271847054558029e+00, 3.200535909275076e+02, -3.079389684057604e+01, 2.928419642920205e+05
162, 6.958900094030001e-01, 3.674225211597043e-02, 1.272628975436486e+00, 3.197852405842362e+02, -3.146401210017223e+01, 2.929931365183250e+05
163, 7.103199958800001e-01, 3.530689307158652e-02, 1.274849529114585e+00, 3.195140040078659e+02, -3.211303294078558e+01, 2.934491478889682e+05
164, 7.245299816130000e-01, 3.386376679305321e-02, 1.275283374741709e+00, 3.192720165693647e+02, -3.274640819478127e+01, 2.935284343632110e+05
165, 7.385200262070000e-01, 3.241453277608040e-02, 1.276392448967384e+00, 3.189567946162418e+02, -3.335487808646145e+01, 2.937456303113656e+05
166, 7.522799968720000e-01, 3.096181144522562e-02, 1.278384595319690e+00, 3.184920521725159e+02, -3.393121871704624e+01, 2.941394226802224e+05
167, 7.657799720760000e-01, 2.951033727360171e-02, 1.280871210515293e+00, 3.179774996817543e+02, -3.448675444188327e+01, 2.946347182439765e+05
168, 7.790099978450000e-01, 2.806276676215449e-02, 1.283643701843287e+00, 3.173771577098768e+02, -3.501820436093431e+01, 2.951847876417898e+05
169, 7.919700145720000e-01, 2.662062628442961e-02, 1.286753668918172e+00, 3.167147700676822e+02, -3.552853917569082e+01, 2.958024038468971e+05
